"ID50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 19:18:31"


27
locs,ID50
127.826,22.6284,
139.815,26.8410,
117.664,274.672,
122.677,222.406,
127.688,187.872,
135.688,188.048,
140.677,222.873,
146.672,242.734,
151.652,326.642,
151.614,590.814,
145.625,498.437,
140.633,438.737,
129.639,402.605,
126.620,541.273,
120.614,588.682,
131.597,759.876,
138.597,760.497,
146.592,828.459,
141.592,827.976,
141.570,1161.69,
148.559,1377.15,
134.562,1317.92,
126.567,1209.81,
120.584,937.792,
127.595,792.364,
120.551,1558.54,
134.507,3073.07,
