lineage,group
A,A/A.1/A.11/A.12/A.2/A.2.2/A.2.3/A.2.4/A.25/A.26/A.3/A.5/AA.1/AA.2/AA.3/AA.4/AA.5/AA.6/AA.7/AA.8/AC.1/AD.2/AE.1/AE.5/AK.1/AM.1/AM.2/AM.3/AN.1/AS.1/AY.57/B/B.1/B.1.1/B.1.1.1/B.1.1.10/B.1.1.101/B.1.1.107/B.1.1.109/B.1.1.111/B.1.1.114/B.1.1.115/B.1.1.117/B.1.1.119/B.1.1.12/B.1.1.120/B.1.1.121/B.1.1.123/B.1.1.125/B.1.1.128/B.1.1.13/B.1.1.130/B.1.1.132/B.1.1.133/B.1.1.134/B.1.1.135/B.1.1.137/B.1.1.138/B.1.1.14/B.1.1.142/B.1.1.145/B.1.1.147/B.1.1.148/B.1.1.149/B.1.1.15/B.1.1.153/B.1.1.154/B.1.1.155/B.1.1.159/B.1.1.16/B.1.1.160/B.1.1.161/B.1.1.162/B.1.1.163/B.1.1.164/B.1.1.165/B.1.1.166/B.1.1.168/B.1.1.170/B.1.1.171/B.1.1.174/B.1.1.178/B.1.1.182/B.1.1.187/B.1.1.189/B.1.1.190/B.1.1.192/B.1.1.193/B.1.1.194/B.1.1.196/B.1.1.197/B.1.1.198/B.1.1.200/B.1.1.201/B.1.1.203/B.1.1.204/B.1.1.208/B.1.1.209/B.1.1.213/B.1.1.216/B.1.1.217/B.1.1.218/B.1.1.220/B.1.1.221/B.1.1.222/B.1.1.227/B.1.1.228/B.1.1.232/B.1.1.236/B.1.1.237/B.1.1.240/B.1.1.241/B.1.1.242/B.1.1.243/B.1.1.25/B.1.1.253/B.1.1.254/B.1.1.255/B.1.1.256/B.1.1.257/B.1.1.262/B.1.1.263/B.1.1.269/B.1.1.27/B.1.1.270/B.1.1.274/B.1.1.275/B.1.1.277/B.1.1.279/B.1.1.28/B.1.1.286/B.1.1.288/B.1.1.289/B.1.1.29/B.1.1.291/B.1.1.294/B.1.1.296/B.1.1.297/B.1.1.299/B.1.1.300/B.1.1.301/B.1.1.302/B.1.1.303/B.1.1.304/B.1.1.305/B.1.1.306/B.1.1.307/B.1.1.308/B.1.1.309/B.1.1.310/B.1.1.311/B.1.1.312/B.1.1.315/B.1.1.317/B.1.1.319/B.1.1.323/B.1.1.325/B.1.1.326/B.1.1.329/B.1.1.33/B.1.1.339/B.1.1.341/B.1.1.347/B.1.1.348/B.1.1.349/B.1.1.351/B.1.1.352/B.1.1.353/B.1.1.354/B.1.1.355/B.1.1.360/B.1.1.361/B.1.1.363/B.1.1.364/B.1.1.365/B.1.1.366/B.1.1.369/B.1.1.37/B.1.1.370/B.1.1.371/B.1.1.372/B.1.1.373/B.1.1.378/B.1.1.379/B.1.1.38/B.1.1.380/B.1.1.39/B.1.1.391/B.1.1.392/B.1.1.395/B.1.1.398/B.1.1.4/B.1.1.406/B.1.1.408/B.1.1.409/B.1.1.41/B.1.1.410/B.1.1.411/B.1.1.417/B.1.1.419/B.1.1.421/B.1.1.425/B.1.1.43/B.1.1.434/B.1.1.438/B.1.1.44/B.1.1.442/B.1.1.447/B.1.1.45/B.1.1.46/B.1.1.462/B.1.1.47/B.1.1.48/B.1.1.482/B.1.1.485/B.1.1.49/B.1.1.5/B.1.1.50/B.1.1.500/B.1.1.51/B.1.1.521/B.1.1.529/B.1.1.54/B.1.1.55/B.1.1.58/B.1.1.59/B.1.1.63/B.1.1.67/B.1.1.70/B.1.1.71/B.1.1.74/B.1.1.75/B.1.1.8/B.1.1.82/B.1.1.83/B.1.1.86/B.1.1.88/B.1.1.89/B.1.1.92/B.1.1.95/B.1.1.97/B.1.1.99/B.1.104/B.1.105/B.1.110.2/B.1.110.3/B.1.111/B.1.115/B.1.117/B.1.12/B.1.120/B.1.128/B.1.13/B.1.131/B.1.142/B.1.146/B.1.147/B.1.149/B.1.151/B.1.153/B.1.157/B.1.164/B.1.165/B.1.167/B.1.168/B.1.170/B.1.173/B.1.177.11/B.1.177.14/B.1.177.15/B.1.177.16/B.1.177.17/B.1.177.18/B.1.177.19/B.1.177.2/B.1.177.20/B.1.177.21/B.1.177.23/B.1.177.24/B.1.177.26/B.1.177.29/B.1.177.3/B.1.177.30/B.1.177.31/B.1.177.32/B.1.177.33/B.1.177.35/B.1.177.38/B.1.177.4/B.1.177.41/B.1.177.44/B.1.177.50/B.1.177.51/B.1.177.52/B.1.177.53/B.1.177.54/B.1.177.55/B.1.177.56/B.1.177.57/B.1.177.69/B.1.177.73/B.1.177.74/B.1.177.75/B.1.177.77/B.1.177.81/B.1.177.85/B.1.179/B.1.180/B.1.189/B.1.190/B.1.195/B.1.198/B.1.2/B.1.201/B.1.208/B.1.210/B.1.213/B.1.215/B.1.218/B.1.22/B.1.220/B.1.221/B.1.221.1/B.1.221.2/B.1.223/B.1.225/B.1.229/B.1.23/B.1.231/B.1.232/B.1.234/B.1.235/B.1.236/B.1.238/B.1.239/B.1.240/B.1.240.2/B.1.241/B.1.243/B.1.248/B.1.250/B.1.251/B.1.252/B.1.254/B.1.256/B.1.264/B.1.277/B.1.282/B.1.293/B.1.298/B.1.319/B.1.321/B.1.324/B.1.349/B.1.35/B.1.350/B.1.350.1/B.1.356/B.1.36/B.1.36.1/B.1.36.10/B.1.36.12/B.1.36.16/B.1.36.17/B.1.36.18/B.1.36.2/B.1.36.20/B.1.36.21/B.1.36.22/B.1.36.24/B.1.36.26/B.1.36.28/B.1.36.31/B.1.36.33/B.1.36.34/B.1.36.35/B.1.36.37/B.1.36.38/B.1.36.39/B.1.36.7/B.1.36.8/B.1.36.9/B.1.360/B.1.362/B.1.362.1/B.1.362.2/B.1.367/B.1.369/B.1.372/B.1.377/B.1.378/B.1.379/B.1.381/B.1.383/B.1.389/B.1.39/B.1.390/B.1.391/B.1.395/B.1.398/B.1.40/B.1.400/B.1.406/B.1.407/B.1.408/B.1.409/B.1.411/B.1.413/B.1.416/B.1.416.1/B.1.418/B.1.420/B.1.428/B.1.428.2/B.1.431/B.1.438/B.1.438.1/B.1.439/B.1.44/B.1.441/B.1.446/B.1.453/B.1.459/B.1.460/B.1.462/B.1.465/B.1.466/B.1.467/B.1.468/B.1.469/B.1.470/B.1.471/B.1.474/B.1.480/B.1.483/B.1.489/B.1.491/B.1.499/B.1.503/B.1.504/B.1.505/B.1.509/B.1.513/B.1.520/B.1.523/B.1.527/B.1.531/B.1.532/B.1.540/B.1.549/B.1.551/B.1.555/B.1.557/B.1.559/B.1.562/B.1.563/B.1.568/B.1.577/B.1.582/B.1.595/B.1.596/B.1.6/B.1.600/B.1.607/B.1.609/B.1.67/B.1.69/B.1.70/B.1.76/B.1.78/B.1.8/B.1.81/B.1.9/B.1.9.1/B.1.9.4/B.1.9.5/B.1.91/B.1.93/B.1.97/B.10/B.11/B.15/B.18/B.23/B.26/B.27/B.28/B.29/B.3/B.3.1/B.31/B.32/B.33/B.34/B.35/B.39/B.4/B.4.2/B.4.7/B.4.8/B.40/B.41/B.45/B.47/B.52/B.55/B.57/B.58/B.6/B.60/B.61/C.1/C.18/C.25/C.27/C.3/C.35/C.36/D.4/D.5/M.3/S.1/UNASSIGNED/V.1/V.2/W.1/W.3/W.4/Y.1/Z.1
A.2.5,A.2.5/A.21/B.1.1.487/C.16/C.28/L.3
A.2.5.1,A.2.5.1/A.2.5.2
A.23.1,A.23.1
A.27,A.27
A.28,A.28/C.2
A.29,A.29
AH.3,AH.3
AP.1,AP.1/B.1.1.136/B.1.1.7/Q.1/Q.2/Q.4/Q.7/Q.8/XA
AS.2,AS.2
AT.1,AT.1
AV.1,AV.1
AY.1,AY.1
AY.10,AY.10/AY.100/AY.101/AY.102/AY.103/AY.104/AY.107/AY.108/AY.11/AY.110/AY.112/AY.113/AY.114/AY.116/AY.116.1/AY.117/AY.119/AY.119.2/AY.120/AY.120.2.1/AY.122/AY.124.1/AY.125/AY.126/AY.127.1/AY.129/AY.13/AY.132/AY.134/AY.14/AY.16/AY.20/AY.22/AY.23/AY.23.1/AY.24/AY.25.1.2/AY.25.3/AY.26/AY.27/AY.28/AY.29/AY.3.1/AY.30/AY.35/AY.36/AY.37/AY.38/AY.39.1.2/AY.4.13/AY.4.14/AY.4.16/AY.4.17/AY.4.2.4/AY.4.3/AY.4.6/AY.4.7/AY.42/AY.43.9/AY.44/AY.45/AY.46.4/AY.46.6.1/AY.47/AY.5/AY.5.1/AY.5.3/AY.5.5/AY.5.6/AY.51/AY.53/AY.55/AY.58/AY.59/AY.6/AY.60/AY.63/AY.65/AY.66/AY.7/AY.7.2/AY.70/AY.71/AY.72/AY.73/AY.75/AY.78/AY.79/AY.8/AY.80/AY.82/AY.84/AY.85/AY.87/AY.88/AY.9/AY.9.2/AY.91/AY.92/AY.94/AY.95/AY.99/AY.99.1/B.1.617.2
AY.103.1,AY.103.1/AY.16.1/AY.31
AY.105,AY.105/AY.29.1/AY.39/AY.48/AY.77/AY.81/AY.83/AY.91.1
AY.106,AY.106
AY.109,AY.109/AY.111/AY.118/AY.119.1/AY.120.1/AY.121/AY.121.1/AY.122.1/AY.122.4/AY.123/AY.123.1/AY.124/AY.124.1.1/AY.127/AY.128/AY.20.1/AY.25/AY.25.1/AY.3/AY.32/AY.34/AY.34.1/AY.34.2/AY.36.1/AY.39.1/AY.39.1.4/AY.39.2/AY.4/AY.4.10/AY.4.11/AY.4.12/AY.4.15/AY.4.4/AY.4.5/AY.4.8/AY.4.9/AY.43/AY.43.3/AY.43.6/AY.43.8/AY.46/AY.46.1/AY.46.2/AY.46.5/AY.46.6/AY.5.2/AY.5.4/AY.61/AY.69/AY.7.1/AY.75.2/AY.9.2.2/AY.90/AY.98/AY.99.2
AY.112.1,AY.112.1/AY.12/AY.74
AY.112.2,AY.112.2
AY.120.2,AY.120.2
AY.122.2,AY.122.2
AY.122.6,AY.122.6
AY.131,AY.131/AY.4.1
AY.133,AY.133
AY.17,AY.17
AY.19,AY.19/AY.52
AY.23.2,AY.23.2
AY.25.2,AY.25.2
AY.3.3,AY.3.3
AY.33,AY.33
AY.33.1,AY.33.1
AY.33.2,AY.33.2
AY.4.2,AY.4.2/AY.4.2.1/AY.4.2.2/AY.4.2.3
AY.4.2.5,AY.4.2.5
AY.40,AY.40/AY.93
AY.41,AY.41
AY.43.4,AY.43.4
AY.43.5,AY.43.5
AY.46.3,AY.46.3/AY.76
AY.50,AY.50/AY.86
AY.54,AY.54
AY.56,AY.56
AY.68,AY.68
AY.98.1,AY.98.1
AY.98.1.1,AY.98.1.1
AZ.1,AZ.1/AZ.2/AZ.4/B.1.1.318/B.1.1.525/B.1.525/B.1.618/P.2
AZ.5,AZ.5
B.1.1.122,B.1.1.122
B.1.1.129,B.1.1.129/B.1.1.141/B.1.1.280/B.1.1.397
B.1.1.144,B.1.1.144/B.1.1.375/B.1.1.413/B.1.160/B.1.160.10/B.1.160.12/B.1.160.23/B.1.160.26/B.1.160.33/B.1.160.7
B.1.1.219,B.1.1.219
B.1.1.234,B.1.1.234
B.1.1.249,B.1.1.249
B.1.1.266,B.1.1.266
B.1.1.272,B.1.1.272
B.1.1.298,B.1.1.298
B.1.1.3,B.1.1.3
B.1.1.333,B.1.1.333/B.1.561
B.1.1.34,B.1.1.34
B.1.1.374,B.1.1.374
B.1.1.420,B.1.1.420
B.1.1.433,B.1.1.433/B.1.375
B.1.1.519,B.1.1.519/B.1.214.3
B.1.1.523,B.1.1.523
B.1.1.84,B.1.1.84
B.1.143,B.1.143/B.1.222/B.1.258/B.1.258.10/B.1.258.12/B.1.258.14/B.1.258.2/B.1.258.20/B.1.258.3/B.1.258.4/B.1.258.5/B.1.258.6/B.1.258.7/B.1.466.1/B.1.466.2/G.1
B.1.177,B.1.177/B.1.177.43/B.1.177.47/B.1.177.48/B.1.177.5/B.1.177.58/B.1.177.59/B.1.177.6/B.1.177.60/B.1.177.63/B.1.177.65/B.1.177.67/B.1.177.7/B.1.177.8/B.1.177.86/B.1.610/U.1/U.3
B.1.177.10,B.1.177.10/B.1.177.46/B.1.177.82/B.1.177.83/B.1.177.84/B.1.177.87/B.1.177.9
B.1.177.39,B.1.177.39
B.1.214.2,B.1.214.2
B.1.249,B.1.249
B.1.258.11,B.1.258.11
B.1.258.17,B.1.258.17
B.1.258.22,B.1.258.22
B.1.351,B.1.351
B.1.351.2,B.1.351.2
B.1.351.3,B.1.351.3
B.1.351.5,B.1.351.5
B.1.36.23,B.1.36.23
B.1.36.29,B.1.36.29
B.1.427,B.1.427/B.1.429
B.1.428.3,B.1.428.3
B.1.526,B.1.526
B.1.575,B.1.575/B.1.575.1
B.1.604,B.1.604
B.1.606,B.1.606
B.1.617.1,B.1.617.1
B.1.617.3,B.1.617.3
B.1.619,B.1.619
B.1.620,B.1.620
B.1.621,B.1.621/B.1.621.1
B.1.621.2,B.1.621.2
B.1.623,B.1.623
B.1.625,B.1.625
B.1.626,B.1.626
B.1.629,B.1.629
B.1.630,B.1.630
B.1.633,B.1.633
B.1.637,B.1.637
B.1.637.1,B.1.637.1
B.1.640.1,B.1.640.1
B.1.640.2,B.1.640.2
B.1.77,B.1.77
BA.1,BA.1/BA.1.10/BA.1.12/BA.1.14/BA.1.14.2/BA.1.15/BA.1.15.1/BA.1.16/BA.1.17/BA.1.17.2/BA.1.18/BA.1.19/BA.1.21/BA.1.4/BA.1.5/BA.1.6/BA.1.7/BA.1.9/BD.1
BA.1.1,BA.1.1/BA.1.1.12/BA.1.1.13/BA.1.1.14/BA.1.1.15/BA.1.1.6/BA.1.1.8/BA.1.1.9
BA.1.1.1,BA.1.1.1/BA.1.1.10/BA.1.1.11/BA.1.1.4
BA.1.1.16,BA.1.1.16
BA.1.1.18,BA.1.1.18
BA.1.1.2,BA.1.1.2
BA.1.1.3,BA.1.1.3
BA.1.1.7,BA.1.1.7
BA.1.13,BA.1.13
BA.1.14.1,BA.1.14.1
BA.1.15.3,BA.1.15.3
BA.1.20,BA.1.20
BA.1.21.1,BA.1.21.1
BA.1.8,BA.1.8
BA.2,BA.2
BA.2.10,BA.2.10
BA.2.3,BA.2.3
BA.2.5,BA.2.5
BA.2.9,BA.2.9
BA.3,BA.3
BB.2,BB.2
C.1.2,C.1.2
C.30,C.30
C.36.3,C.36.3
C.36.3.1,C.36.3.1
C.37,C.37/C.37.1
C.38,C.38
N.5,N.5
NONE,NONE
P.1,P.1/P.1.1/P.1.10/P.1.14/P.1.15/P.1.16/P.1.17/P.1.17.1/P.1.2/P.1.7
P.1.8,P.1.8
P.3,P.3
Q.3,Q.3/Q.6
R.1,R.1
XB,XB
